hyp_id,version,source_project,source_commit_or_doc,mechanism,information_set,instrument_session,event_definition,direction,management_and_costs,parameters_and_neighbors,raw_events,effective_events,unique_days,first_binding_failure,additional_failures,disposition,fingerprint_class
OFH1,v1,OF-HYPOTHESES,docs/OFH_FINDINGS.md,delta-price divergence fade at swing extremes,1m bar-aggregate aggressor delta + price,MNQ RTH,new price extreme with opposing cumulative-delta divergence,fade,ATR stop / time exit / 0.87pt RT,divergence window + extreme lookback neighbors in ledger,see docs/OFH_FINDINGS.md,see docs/OFH_FINDINGS.md,see docs/OFH_FINDINGS.md,negative expectancy after costs,failed permutation control,DEAD_FROZEN,OF_DIVERGENCE_FADE
OFH2,v1,OF-HYPOTHESES,docs/OFH_FINDINGS.md,delta-confirmed range break continuation,1m delta + deltaConfirmsBreak flag + price break,MNQ RTH,price break of range with same-sign bar delta,continuation,ATR stop / time exit / 0.87pt RT,break lookback + confirm threshold neighbors,see docs/OFH_FINDINGS.md,see docs/OFH_FINDINGS.md,see docs/OFH_FINDINGS.md,negative expectancy after costs,no significant conditional lift,DEAD_FROZEN,OF_BREAK_CONFIRMATION
OFH3,v1,OF-HYPOTHESES,docs/OFH_FINDINGS.md,absorption reversal (large aggressive volume with no progress),1m absorption candidate flags + absorptionStrengthRaw,MNQ RTH,absorptionBuy/SellCandidate at local extreme,fade,ATR stop / time exit / 0.87pt RT,strength threshold neighbors,see docs/OFH_FINDINGS.md,see docs/OFH_FINDINGS.md,see docs/OFH_FINDINGS.md,negative expectancy after costs,bar-aggregate absorption proxy lacks depth evidence,DEAD_FROZEN,OF_ABSORPTION_REVERSAL
OFH4,v1,OF-HYPOTHESES,docs/OFH_FINDINGS.md,stacked-imbalance continuation,1m stacked bid/ask imbalance levels (2x/3x/4x),MNQ RTH,stackedBuy/SellLevels_3x >= threshold,continuation,ATR stop / time exit / 0.87pt RT,stack depth + multiplier neighbors,see docs/OFH_FINDINGS.md,see docs/OFH_FINDINGS.md,see docs/OFH_FINDINGS.md,negative expectancy after costs,,DEAD_FROZEN,OF_STACKED_IMBALANCE
OFH5,v1,OF-HYPOTHESES,docs/OFH_FINDINGS.md,imbalance-exhaustion fade,1m imbalance counts,MNQ RTH,extreme one-sided imbalanceCount then stall,fade,ATR stop / time exit / 0.87pt RT,count threshold neighbors,see docs/OFH_FINDINGS.md,see docs/OFH_FINDINGS.md,see docs/OFH_FINDINGS.md,negative expectancy after costs,,DEAD_FROZEN,OF_STACKED_IMBALANCE
OFH6,v2-destruction,OF-HYPOTHESES,docs/OFH6_DESTRUCTION.md,cumulative-delta trend continuation,1m ofCumDelta slope,MNQ RTH,cum-delta trend alignment with price trend,continuation,ATR stop / time exit / 0.87pt RT,slope window neighbors,see docs/OFH6_DESTRUCTION.md,see docs/OFH6_DESTRUCTION.md,see docs/OFH6_DESTRUCTION.md,nominal survivor destroyed: does not stand standalone under destruction battery,effect subsumed by OFH13 context,DEAD_FROZEN,OF_CUMDELTA_TREND
OFH7,v1,OFHT-TIMING,docs/OFHT_FINDINGS.md,effort-result continuation (large delta effort with matching result),1m delta magnitude vs bar range,MNQ RTH,high |delta| bar with confirming range,continuation,ATR stop / time exit / 0.87pt RT,effort threshold + result ratio neighbors,see docs/OFHT_FINDINGS.md,see docs/OFHT_FINDINGS.md,see docs/OFHT_FINDINGS.md,negative expectancy after costs,timing variants also failed (OFHT),DEAD_FROZEN,OF_EFFORT_RESULT
OFH8,v1,OFHT-TIMING,docs/OFHT_FINDINGS.md,value-area rejection,1m profile VAH/VAL/POC + delta,MNQ RTH,rejection at value-area edge with opposing delta,fade,ATR stop / time exit / 0.87pt RT,VA distance neighbors,see docs/OFHT_FINDINGS.md,see docs/OFHT_FINDINGS.md,see docs/OFHT_FINDINGS.md,never fired at usable frequency / negative,see docs/OFHT_FINDINGS.md,DEAD_FROZEN,OF_VALUE_PROFILE
OFH9,v1,OFHT-TIMING,docs/OFHT_FINDINGS.md,value reversion toward POC,1m profile POC distance,MNQ RTH,extension beyond value with fading delta,reversion,ATR stop / time exit / 0.87pt RT,distance threshold neighbors,see docs/OFHT_FINDINGS.md,see docs/OFHT_FINDINGS.md,see docs/OFHT_FINDINGS.md,negative expectancy after costs,,DEAD_FROZEN,OF_VALUE_PROFILE
OFH10,v1,OFHT-TIMING,docs/OFHT_FINDINGS.md,acceptance rotation (price accepted in new value),1m profile interaction + insideValueArea,MNQ RTH,acceptance inside new value area,continuation,ATR stop / time exit / 0.87pt RT,acceptance dwell neighbors,see docs/OFHT_FINDINGS.md,see docs/OFHT_FINDINGS.md,see docs/OFHT_FINDINGS.md,negative expectancy after costs,,DEAD_FROZEN,OF_VALUE_PROFILE
OFH11,v1,OF-HYPOTHESES,docs/OFH_FINDINGS.md,delta-climax fade,1m ofMinDelta/ofMaxDelta extremes,MNQ RTH,delta climax at price extreme,fade,ATR stop / time exit / 0.87pt RT,climax percentile neighbors,see docs/OFH_FINDINGS.md,see docs/OFH_FINDINGS.md,see docs/OFH_FINDINGS.md,negative expectancy after costs,,DEAD_FROZEN,OF_DIVERGENCE_FADE
OFH12,v1,OF-HYPOTHESES,docs/OFH_FINDINGS.md,repeat-extreme fade (repeated trades at extreme),1m repeatedTradeAtExtreme flag,MNQ RTH,repeated aggressive prints at extreme without progress,fade,ATR stop / time exit / 0.87pt RT,repeat count neighbors,see docs/OFH_FINDINGS.md,see docs/OFH_FINDINGS.md,see docs/OFH_FINDINGS.md,negative expectancy after costs,,DEAD_FROZEN,OF_DIVERGENCE_FADE
OFH13,v1-prospective,OFFVG,docs/OFFVG_FINDINGS.md + docs/PROSPECTIVE_REGISTRY.md,FVG mitigation entry gated by order-flow failure of the counter-move,1m FVG zones + delta failure flags,MNQ RTH (>=30m after open >=90m to close),FVG retest with flow-failure confirmation,continuation with structure,ATR1.5 stop / no target / 60m timeout / 0.87pt RT,frozen; neighbors in OFFVG ledger,133,133,see docs/OFFVG_FINDINGS.md,none (q=0.061 exploratory pass; prospective arm frozen),derivative mining prohibited while prospective runs,PASSED_HISTORICAL_EXPLORATORY,FVG_FLOW_MITIGATION
